id;oferta_interconexions_id;sci_servicios_id;created_at;updated_at;precio;servicio
19;6;18;2016-02-09 16:05:12.007;2016-02-09 16:05:12.007;4.00;Red fija
20;6;18;2016-02-09 16:05:12.023;2016-02-09 16:05:12.023;18.00;Red Móvil
21;6;18;2016-02-09 16:05:12.023;2016-02-09 16:05:12.023;6.00;Tránsito en el red móvil
22;7;NULL;2016-02-09 16:55:05.780;2016-02-09 16:55:05.780;0.00;No aplica
23;7;NULL;2016-02-09 16:55:05.780;2016-02-09 16:55:05.780;0.00;No aplica
24;7;NULL;2016-02-09 16:55:05.793;2016-02-09 16:55:05.793;0.00;No aplica
25;8;18;2016-02-09 19:33:32.427;2016-02-09 19:33:32.427;0.00;No aplica
26;8;18;2016-02-09 19:33:32.427;2016-02-09 19:33:32.427;0.00;No aplica
27;8;18;2016-02-09 19:33:32.427;2016-02-09 19:33:32.427;0.00;No aplica
52;11;18;2016-02-10 14:43:30.790;2016-02-10 14:43:30.790;0.00;Servicio de SMS.
53;11;18;2016-02-10 14:43:30.790;2016-02-10 14:43:30.790;0.00;Servicio de MMS.
54;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Servicios de conexión.
55;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Servicios de interconexión de terminación.
56;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Servicios de interconexión de acceso.
57;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Interconexión de tránsito.
58;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Interconexión de redes de datos.
59;11;18;2016-02-10 14:43:30.807;2016-02-10 14:43:30.807;0.00;Servicios de Auxiliares.
60;11;18;2016-02-10 14:43:30.820;2016-02-10 14:43:30.820;0.00;Servicios de Coubicación.
61;11;18;2016-02-10 14:43:30.820;2016-02-10 14:43:30.820;0.00;Servicios de Acceso.
62;11;18;2016-02-10 14:43:30.820;2016-02-10 14:43:30.820;0.00;Servicios de Transporte
63;11;18;2016-02-10 14:43:30.820;2016-02-10 14:43:30.820;0.00;Servicios de de uso compartido de infraestructura.
64;12;18;2016-02-10 15:49:58.377;2016-02-10 15:49:58.377;0.00;Servicio de SMS.
65;12;18;2016-02-10 15:49:58.377;2016-02-10 15:49:58.377;0.00;Servicio de MMS.
66;12;18;2016-02-10 15:49:58.377;2016-02-10 15:49:58.377;0.00;Servicios de conexión.
67;12;18;2016-02-10 15:49:58.377;2016-02-10 15:49:58.377;0.00;Servicios de interconexión de terminación.
68;12;18;2016-02-10 15:49:58.377;2016-02-10 15:49:58.377;0.00;Servicios de interconexión de acceso.
69;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Interconexión de tránsito.
70;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Interconexión de redes de datos.
71;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Servicios de Auxiliares.
72;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Servicios de Coubicación.
73;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Servicios de Acceso.
74;12;18;2016-02-10 15:49:58.393;2016-02-10 15:49:58.393;0.00;Servicios de Transporte
75;12;18;2016-02-10 15:49:58.407;2016-02-10 15:49:58.407;0.00;Servicios de de uso compartido de infraestructura.
112;16;18;2016-11-21 17:44:40.833;2016-11-21 17:44:40.833;13.33;CARGOS DE ORIGINACION Y TERMINACION MOVIL 
113;16;18;2016-11-21 17:44:40.833;2016-11-21 17:44:40.833;8.71;CARGOS DE ORIGINACION Y TERMINACION MOVIL
114;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;4.09;CARGOS DE ORIGINACION Y TERMINACION MOVIL
115;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;0.00;NO APLICA
116;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;0.00;NO APLICA
117;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;0.00;NO APLICA
118;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;0.00;NO APLICA
119;16;18;2016-11-21 17:44:40.847;2016-11-21 17:44:40.847;0.00;NO APLICA
120;16;18;2016-11-21 17:44:40.863;2016-11-21 17:44:40.863;0.00;NO APLICA
121;16;18;2016-11-21 17:44:40.863;2016-11-21 17:44:40.863;0.00;NO APLICA
122;16;18;2016-11-21 17:44:40.863;2016-11-21 17:44:40.863;0.00;NO APLICA
123;16;18;2016-11-21 17:44:40.863;2016-11-21 17:44:40.863;0.00;NO APLICA
