id;fecha_publicacion_gaceta;numero_publicacion_gaceta;created_at;updated_at;tipo_precio_tarifa
4;2009-02-06;26 ;2016-01-15 14:41:44.880;2016-01-15 14:41:44.880;NULL
5;2009-02-06;26 ;2016-01-15 14:42:47.943;2016-01-15 14:42:47.943;NULL
8;2010-03-31;63;2016-02-18 17:55:21.843;2016-02-18 17:55:21.843;NULL
9;2009-02-06;26;2016-02-19 19:51:18.380;2016-02-19 19:51:18.380;NULL
10;2010-02-15;31;2016-02-19 20:01:51.460;2016-02-19 20:01:51.460;NULL
11;2011-04-14;73;2016-02-19 20:56:53.683;2016-02-19 20:56:53.683;NULL
12;2013-09-30;187;2016-02-19 21:16:58.217;2016-02-19 21:16:58.217;NULL
13;2013-03-07;47;2016-02-19 21:25:16.657;2016-02-19 21:25:16.657;NULL
14;2015-02-26;40;2016-02-19 21:39:26.000;2016-02-19 21:39:26.000;NULL
16;2009-11-29;193;2016-03-18 20:59:34.303;2016-03-18 20:59:34.303;NULL
